Employee_ID,Employee_email,leave_type,leave_due,leave_applied,month_remaining,leave_start,leave_end,leave_day,manager,country,Month,next_leave_start,next_leave_end
3801369,rrun@google.com,Annual Leave,15-10-2024,n,2,08-08-2024,18-08-2024,Thursday,shiv@google.com,USA,Aug,,
3023458,ppriyanka@google.com,Annual Leave,19-10-2024,n,2,16-08-2024,26-08-2024,Friday,amit@google.com,India,Aug,,
3801369,jrun@google.com,Annual Leave,22-11-2024,n,3,19-08-2024,29-08-2024,Monday,shiv@google.com,USA,Aug,,
3026251,rmrita@google.com,Annual Leave,10-10-2024,y,,,,Monday,john@google.com,India,Aug,26-08-2024,05-09-2024
3026251,jackey@google.com,Annual Leave,20-11-2024,y,,,,Tuesday,amit@google.com,India,Aug,27-08-2024,06-09-2024
3801369,jrun@google.com,Annual Leave,27-10-2024,y,,,,Tuesday,shiv@google.com,USA,Aug,20-08-2024,30-08-2024
3023458,john@google.com,Annual Leave,06-11-2024,y,,,,Tuesday,amit@google.com,India,Aug,24-08-2024,03-09-2024
3801369,trun@google.com,Annual Leave,20-12-2024,y,,,,Tuesday,shiv@google.com,USA,Oct,01-10-2024,11-10-2024
3026251,jax@google.com,Annual Leave,24-12-2024,y,,,,Tuesday,jax@google.com,India,Oct,08-10-2024,18-10-2024
3023458,goro@google.com,Sick Leave,11-12-2024,y,,,,Tuesday,amit@google.com,India,Oct,22-10-2024,01-11-2024
3801369,jonny@google.com,Family Care,23-12-2024,n,2,22-10-2024,01-11-2024,Tuesday,jax@google.com,USA,Oct,,
3801369,scorpian@google.com,Family Care,18-12-2024,n,1,28-10-2024,07-11-2024,Monday,shiv@google.com,USA,Oct,,
3026251,zero@google.com,Family Care,11-12-2024,n,1,11-11-2024,21-11-2024,Monday,amit@google.com,India,Nov,,
3023458,subzero@google.com,Family Care,23-02-2025,n,2,17-12-2024,27-12-2024,Tuesday,shinok@google.com,India,Dec,,
3023458,shinok@google.com,Well Being,02-02-2025,n,1,18-12-2024,28-12-2024,Wednesday,shinok@google.com,India,Dec,,
3023458,tanya@google.com,Well Being,31-01-2025,n,1,19-12-2024,29-12-2024,Thursday,amit@google.com,India,Dec,,
3498201,sonya@google.com,Well Being,18-04-2024,n,3,12-01-2024,22-01-2024,Friday,anuj@google.com,USA,Jan,,
3498201,blade@google.com,Well Being,22-06-2024,n,2,22-04-2024,02-05-2024,Monday,jax@google.com,USA,Apr,,
3498201,kyo@google.com,Annual Leave,01-08-2024,n,3,23-04-2024,03-05-2024,Tuesday,shinok@google.com,USA,Apr,,
3498201,ralf@google.com,Annual Leave,26-06-2024,y,,,,Monday,anuj@google.com,USA,May,06-05-2024,16-05-2024
3498201,king@google.com,Annual Leave,23-08-2024,y,,,,Friday,shinok@google.com,USA,Jun,28-06-2024,08-07-2024
3498201,kusanagi@google.com,Annual Leave,29-08-2024,y,,,,Wednesday,jax@google.com,USA,Jul,24-07-2024,03-08-2024
3498201,tani@google.com,Annual Leave,05-09-2024,y,,,,Wednesday,anuj@google.com,USA,Jul,24-07-2024,03-08-2024
3498201,faizal@google.com,Family Care,30-10-2024,n,2,20-08-2024,30-08-2024,Tuesday,shinok@google.com,USA,Aug,,
3498201,jobs@google.com,Sick Leave,05-10-2024,n,1,24-08-2024,03-09-2024,Tuesday,shinok@google.com,USA,Aug,,
3498201,steve@google.com,Well Being,04-01-2025,n,3,01-10-2024,11-10-2024,Tuesday,anuj@google.com,USA,Oct,,
3498201,jess@google.com,Well Being,20-12-2024,n,2,08-10-2024,18-10-2024,Tuesday,jax@google.com,USA,Oct,,
3498201,jeff@google.com,Sick Leave,03-01-2025,n,1,11-11-2024,21-11-2024,Monday,anuj@google.com,USA,Nov,,
